analysis,quantile,outcome,outcome_label,pathway,pathway_label,beta_log_rate,percent_difference_per_1sd,ci_low_percent,ci_high_percent,p_value,n_countries
longterm_country_quantile_regression,0.25,u5,Under-5,household_disadvantage,Household disadvantage,0.5956076264427312,81.41329252660859,21.317111147161416,171.2789844247367,0.003921400925017016,203
longterm_country_quantile_regression,0.25,u5,Under-5,ambient_pollution,Ambient pollution,0.06642307050486,6.867874799624318,-2.2423034577616296,16.827043477375646,0.14310539607116404,203
longterm_country_quantile_regression,0.25,u5,Under-5,thermal_context,Thermal context,0.05199976902502,5.337549920995177,-3.5915149008671543,15.09359795404519,0.2483485506785843,203
longterm_country_quantile_regression,0.25,u5,Under-5,wetness_context,Wetness context,-0.03326465156422873,-3.2717467123785426,-12.64363279043107,7.1055869531324145,0.5204820915005581,203
longterm_country_quantile_regression,0.5,u5,Under-5,household_disadvantage,Household disadvantage,0.22492405781927644,25.222761568494278,-13.198210949811006,80.64996339848855,0.22755763053797312,203
longterm_country_quantile_regression,0.5,u5,Under-5,ambient_pollution,Ambient pollution,0.08582444170885331,8.961502056177206,-0.10317534507903181,18.848711871979027,0.05275811493211388,203
longterm_country_quantile_regression,0.5,u5,Under-5,thermal_context,Thermal context,0.1211306054017793,12.877232650381366,2.9945494009389506,23.70819353953273,0.009832721087521788,203
longterm_country_quantile_regression,0.5,u5,Under-5,wetness_context,Wetness context,-0.042278979637664416,-4.13976872606926,-13.295066442449343,5.982249946505536,0.4071674098980588,203
longterm_country_quantile_regression,0.75,u5,Under-5,household_disadvantage,Household disadvantage,0.12409581272432418,13.212433771991684,-18.068158810285794,56.43558077621557,0.45005556066674535,203
longterm_country_quantile_regression,0.75,u5,Under-5,ambient_pollution,Ambient pollution,0.0625699469119062,6.456891962211975,-2.2091540678942256,15.890907152213373,0.147735936998429,203
longterm_country_quantile_regression,0.75,u5,Under-5,thermal_context,Thermal context,0.1517289267456669,16.384470649605287,6.223611329999912,27.517270772391168,0.0012481888124399611,203
